"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"546","Age of Conan: Unchained - US version","Feb 22, 2013","Free","N/A (N/A)","120,132 ±8,852","31:53 (02:43)"
"135","Guncraft","Aug 9, 2013","$14.99","59% (73%)","119,107 ±8,814","05:46 (01:15)"
"411","I Have No Mouth, and I Must Scream","Oct 17, 2013","$2.99","N/A (N/A)","118,936 ±8,808","02:56 (01:19)"
"136","Fieldrunners 2","Jan 10, 2013","$9.99","N/A (73%)","118,765 ±8,801","23:35 (03:52)"
"372","Super Splatters","Jun 26, 2013","$9.99","N/A (N/A)","118,765 ±8,801","01:14 (00:51)"
"306","Ballpoint Universe: Infinite","Dec 17, 2013","$3.99","77% (N/A)","118,594 ±8,795","02:52 (01:56)"
"58","Goodbye Deponia","Oct 17, 2013","$2.99","88% (80%)","117,910 ±8,770","11:45 (09:41)"
"174","Space Rangers HD: A War Apart","Oct 17, 2013","$14.99","94% (68%)","116,202 ±8,706","31:48 (08:29)"
"513","Super Amazing Wagon Adventure","Oct 17, 2013","$2.99","95% (N/A)","116,202 ±8,706","01:50 (00:51)"
"134","Gas Guzzlers Extreme","Oct 8, 2013","$24.99","91% (73%)","116,031 ±8,700","04:35 (01:39)"
"131","PixelJunk Shooter","Nov 11, 2013","$8.99","N/A (73%)","113,980 ±8,622","02:43 (01:30)"
"68","Memoria","Aug 29, 2013","$2.99","N/A (79%)","112,271 ±8,557","07:33 (05:05)"
"83","Earth 2150 Trilogy","Nov 1, 2013","$6.99","N/A (78%)","111,759 ±8,538","03:11 (00:10)"
"570","Delver","Sep 6, 2013","$7.99","92% (N/A)","111,588 ±8,531","02:08 (01:07)"
"351","Monster Loves You!","Mar 18, 2013","$9.99","78% (N/A)","111,417 ±8,525","03:22 (01:23)"
"511","Broken Sword 5 - the Serpent's Curse","Dec 4, 2013","$24.99","88% (N/A)","110,391 ±8,486","11:22 (10:34)"
"51","Kentucky Route Zero","Feb 22, 2013","$24.99","88% (81%)","106,632 ±8,340","02:51 (01:24)"
"164","Neighbours from Hell","Nov 7, 2013","$9.99","N/A (69%)","106,461 ±8,333","02:37 (00:52)"
"263","Bleed","Jul 3, 2013","$4.99","94% (N/A)","105,265 ±8,286","02:30 (01:17)"
"104","Kairo","Apr 24, 2013","$4.99","77% (76%)","104,923 ±8,273","02:03 (00:57)"
"148","Septerra Core","Sep 27, 2013","$4.99","N/A (72%)","103,898 ±8,232","04:06 (01:05)"
"28","Giana Sisters: Twisted Dreams - Rise of the Owlverlord","Sep 26, 2013","$4.99","N/A (84%)","103,043 ±8,198","06:33 (00:54)"
"200","Journey of a Roach","Nov 4, 2013","$1.49","N/A (65%)","102,018 ±8,158","02:46 (01:11)"
"74","Super House of Dead Ninjas","Feb 18, 2013","$6.99","98% (79%)","101,505 ±8,137","05:17 (02:14)"
"229","Prime World: Defenders","Jun 5, 2013","$9.99","87% (58%)","100,138 ±8,082","18:42 (05:01)"
"460","The 39 Steps","Apr 25, 2013","$14.99","N/A (N/A)","99,455 ±8,054","01:38 (00:12)"
"501","Darkout","Dec 4, 2013","$14.99","63% (N/A)","99,284 ±8,047","07:11 (00:49)"
"417","Edna & Harvey: The Breakout","Oct 25, 2013","$1.49","N/A (N/A)","98,771 ±8,027","04:57 (02:00)"
"204","Skyward Collapse","May 23, 2013","$4.99","N/A (64%)","98,259 ±8,006","02:46 (01:14)"
"133","MirrorMoon EP","Sep 4, 2013","$9.99","N/A (73%)","95,695 ±7,901","01:24 (00:44)"
"255","The Chaos Engine","Aug 29, 2013","$9.99","N/A (40%)","94,841 ±7,865","01:30 (00:46)"
"203","Inquisitor","Aug 2013","$9.99","N/A (64%)","94,670 ±7,858","08:45 (00:51)"
"128","Dungeon Hearts","Mar 28, 2013","$2.99","N/A (73%)","94,328 ±7,844","04:58 (01:15)"
"499","Finding Teddy","Dec 3, 2013","$6.99","85% (N/A)","94,328 ±7,844","01:45 (01:06)"
"99","Angry Video Game Nerd Adventures","Sep 20, 2013","$9.99","90% (77%)","93,816 ±7,823","04:47 (01:46)"
"202","Pressure","Mar 26, 2013","$9.99","N/A (64%)","92,619 ±7,773","02:29 (01:42)"
"353","Jagged Alliance Online - Steam Edition","Jun 5, 2013","Free","N/A (N/A)","92,107 ±7,751","14:38 (01:38)"
"183","10,000,000","Jan 15, 2013","$4.99","89% (67%)","91,936 ±7,744","08:33 (05:53)"
"209","Dragon's Prophet","Sep 23, 2013","Free","64% (63%)","91,423 ±7,722","10:57 (02:34)"
"530","Bad Hotel","Oct 16, 2013","$4.99","N/A (N/A)","90,740 ±7,694","02:07 (01:15)"
"509","Marlow Briggs","Sep 20, 2013","$4.99","92% (N/A)","89,885 ±7,657","02:02 (00:46)"
"389","Agricultural Simulator: Historical Farming","Nov 6, 2013","$9.99","N/A (N/A)","89,373 ±7,635","00:57 (00:07)"
"177","Cubemen 2","Apr 8, 2013","$7.99","N/A (68%)","89,031 ±7,621","03:03 (01:38)"
"224","Shattered Haven","Mar 18, 2013","$9.99","N/A (59%)","89,031 ±7,621","00:34 (00:14)"
"153","Lilly Looking Through","Nov 1, 2013","$9.99","N/A (71%)","85,613 ±7,473","01:42 (01:01)"
"22","Wizardry 8","Sep 10, 2013","$9.99","N/A (85%)","85,442 ±7,466","10:39 (01:11)"
"368","Droid Assault","Jan 9, 2013","$9.99","N/A (N/A)","84,759 ±7,436","02:11 (01:18)"
"168","Megabyte Punch","Oct 15, 2013","$14.99","N/A (69%)","84,417 ±7,421","03:42 (00:54)"
"89","Element4l","May 24, 2013","$4.99","N/A (77%)","84,246 ±7,413","02:06 (01:04)"
"225","Master Reboot","Oct 29, 2013","$14.99","N/A (59%)","84,246 ±7,413","02:47 (02:05)"
"473","Dungeons & Dragons: Chronicles of Mystara","Jun 18, 2013","$14.99","N/A (N/A)","84,246 ±7,413","02:45 (01:18)"
"401","The Shivah","Nov 21, 2013","$4.99","N/A (N/A)","83,904 ±7,398","01:39 (01:01)"
"432","Gravity Badgers","Nov 28, 2013","$4.99","N/A (N/A)","83,904 ±7,398","03:01 (01:20)"
"503","Day One: Garry's Incident","Sep 25, 2013","$3.99","17% (N/A)","83,733 ±7,391","02:16 (00:49)"
"115","Ring Runner: Flight of the Sages","Nov 19, 2013","$7.49","N/A (75%)","82,879 ±7,353","07:00 (01:04)"
"563","Hero of the Kingdom","Nov 14, 2013","$5.99","89% (N/A)","82,879 ±7,353","03:33 (02:39)"
"42","Desktop Dungeons","Nov 7, 2013","$14.99","91% (82%)","82,708 ±7,345","15:31 (06:25)"
"299","Mini Motor Racing EVO","May 1, 2013","$4.99","N/A (N/A)","82,366 ±7,330","03:23 (00:51)"
"449","Ultratron","Mar 18, 2013","$9.99","N/A (N/A)","80,828 ±7,261","02:43 (01:24)"
"452","Folk Tale","May 30, 2013","$24.99","67% (N/A)","79,974 ±7,223","04:03 (02:01)"
"451","Agricultural Simulator 2013 Steam Edition","Jun 7, 2013","$9.99","N/A (N/A)","79,632 ±7,207","02:33 (00:36)"
"507","Anomaly Warzone Earth Mobile Campaign","Nov 6, 2013","$4.99","N/A (N/A)","77,923 ±7,130","02:43 (02:47)"
"545","Retro/Grade","Mar 20, 2013","$9.99","N/A (N/A)","77,923 ±7,130","03:05 (01:44)"
"166","Foul Play","Sep 18, 2013","$14.99","N/A (69%)","77,752 ±7,122","01:52 (01:04)"
"238","Deadfall Adventures","Nov 15, 2013","$39.99","70% (53%)","77,582 ±7,114","07:20 (03:27)"
"329","Wizardry 6: Bane of the Cosmic Forge","Sep 10, 2013","$4.99","N/A (N/A)","77,582 ±7,114","03:29 (00:10)"
"567","Wizardry 7: Crusaders of the Dark Savant","Sep 10, 2013","$4.99","N/A (N/A)","77,582 ±7,114","23:28 (00:29)"
"165","Ironclad Tactics","Sep 18, 2013","$14.99","N/A (69%)","77,411 ±7,106","04:36 (02:07)"
"231","Knock-knock","Oct 4, 2013","$9.99","90% (57%)","76,044 ±7,043","03:06 (01:34)"
"232","Two Brothers","Dec 3, 2013","$14.99","N/A (57%)","76,044 ±7,043","00:24 (00:10)"
"65","FATE","Dec 12, 2013","$7.99","93% (80%)","75,189 ±7,004","06:36 (02:12)"
"106","ShootMania Storm","Apr 10, 2013","$19.99","89% (76%)","75,018 ±6,996","30:45 (03:29)"
"376","Demonicon","Oct 24, 2013","$19.99","N/A (N/A)","75,018 ±6,996","08:48 (02:59)"
"424","Real World Racing","Dec 6, 2013","$8.99","N/A (N/A)","75,018 ±6,996","01:37 (00:53)"
"78","Duke Nukem: Manhattan Project","Jul 2, 2013","$6.99","N/A (78%)","73,651 ±6,932","02:18 (00:19)"
"281","Ohm Studio","Dec 9, 2013","Free","N/A (N/A)","73,651 ±6,932","02:32 (00:13)"
"439","DisplayFusion","Mar 29, 2013","$29.99","N/A (N/A)","73,480 ±6,923","00:06 (00:01)"
"428","99 Spirits","Nov 12, 2013","$9.99","N/A (N/A)","72,797 ±6,891","03:48 (02:41)"
"410","1953 - KGB Unleashed","Sep 20, 2013","$5.99","N/A (N/A)","72,455 ±6,875","01:52 (00:20)"
"321","Huntsman - The Orphanage Halloween Edition","Sep 13, 2013","$9.99","N/A (N/A)","70,917 ±6,802","01:11 (00:12)"
"485","Mutant Mudds Deluxe","Nov 21, 2013","$9.99","N/A (N/A)","70,917 ±6,802","02:02 (01:43)"
"149","March of the Eagles","Feb 18, 2013","$19.99","N/A (71%)","70,234 ±6,769","18:11 (01:31)"
"308","The 7th Guest","Oct 18, 2013","$5.99","N/A (N/A)","70,234 ±6,769","01:49 (00:32)"
"467","Hate Plus","Aug 19, 2013","$9.99","N/A (N/A)","70,234 ±6,769","14:22 (03:26)"
"454","TrackMania Valley","Jul 4, 2013","$19.99","N/A (N/A)","69,208 ±6,719","07:12 (01:35)"
"496","OMSI 2","Dec 11, 2013","$34.99","76% (N/A)","68,866 ±6,703","85:19 (21:34)"
"139","The Inner World","Sep 27, 2013","$14.99","N/A (72%)","68,183 ±6,669","04:29 (01:48)"
"477","Shadow Man","Oct 18, 2013","$4.99","N/A (N/A)","67,841 ±6,653","03:57 (00:26)"
"257","The Walking Dead: Survival Instinct","Mar 19, 2013","$49.99","53% (38%)","66,987 ±6,611","06:08 (02:47)"
"421","Knytt Underground","Oct 25, 2013","$6.99","N/A (N/A)","66,987 ±6,611","03:28 (01:00)"
"286","Another World","Apr 4, 2013","$9.99","88% (N/A)","65,961 ±6,560","01:11 (00:40)"
"84","Desperados - Wanted Dead or Alive","Nov 20, 2013","$4.99","N/A (78%)","64,936 ±6,509","05:08 (00:29)"
"91","Teslagrad","Dec 13, 2013","$9.99","91% (77%)","64,423 ±6,483","03:44 (01:58)"
"300","7 Grand Steps, Step 1: What Ancients Begat","Jun 7, 2013","$19.99","N/A (N/A)","64,253 ±6,474","05:33 (03:04)"
"254","DARK","Jul 3, 2013","$19.99","44% (41%)","63,056 ±6,414","04:22 (01:43)"
"151","Bionic Dues","Oct 8, 2013","$9.99","N/A (71%)","62,886 ±6,405","06:46 (01:26)"
"124","The Raven - Legacy of a Master Thief","Jul 23, 2013","$24.99","N/A (74%)","62,202 ±6,370","06:32 (03:26)"
"256","Montague's Mount","Nov 19, 2013","$9.99","N/A (39%)","62,202 ±6,370","02:45 (01:17)"
"453","Zack Zero","Apr 29, 2013","$9.99","N/A (N/A)","61,689 ±6,344","02:24 (00:46)"
"407","Rescue: Everyday Heroes","Dec 11, 2013","$9.99","N/A (N/A)","61,348 ±6,326","03:16 (02:15)"
"201","Blood of the Werewolf","Oct 28, 2013","$1.99","N/A (65%)","61,006 ±6,309","02:00 (01:15)"
"375","Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded","Jun 27, 2013","$19.99","N/A (N/A)","60,151 ±6,264","03:32 (02:18)"
"369","Primal Fears","Jan 8, 2013","$9.99","N/A (N/A)","59,810 ±6,246","01:31 (00:40)"
"371","Castle of Illusion","Sep 4, 2013","$14.99","91% (N/A)","59,126 ±6,211","03:12 (01:06)"
"469","Ms. Splosion Man","Apr 3, 2013","$9.99","N/A (N/A)","59,126 ±6,211","02:09 (01:06)"
"491","Solar Flux","Oct 24, 2013","$9.99","N/A (N/A)","58,955 ±6,202","01:47 (01:15)"
"317","YOU DON'T KNOW JACK Vol. 1 XL","Nov 5, 2013","$2.99","N/A (N/A)","58,443 ±6,175","01:02 (00:20)"
"481","FortressCraft Evolved","Dec 10, 2013","$8.99","66% (N/A)","58,443 ±6,175","09:48 (00:54)"
"31","Silent Storm","Oct 2, 2013","$9.99","N/A (83%)","58,101 ±6,157","13:30 (03:18)"
"37","Avadon 2: The Corruption","Oct 30, 2013","$9.99","N/A (82%)","57,588 ±6,129","17:20 (03:27)"
"552","The 11th Hour","Oct 18, 2013","$5.99","N/A (N/A)","57,588 ±6,129","01:52 (00:10)"
"370","Catan","Aug 14, 2013","$16.99","N/A (N/A)","57,417 ±6,120","11:47 (01:56)"
"489","Doorways: Chapter 1 & 2","Sep 20, 2013","$9.99","N/A (N/A)","56,392 ±6,065","01:54 (00:43)"
"150","World War III: Black Gold","Sep 27, 2013","$4.99","N/A (71%)","56,050 ±6,047","01:39 (00:13)"
"514","Nimble Quest","Dec 6, 2013","$4.99","90% (N/A)","55,879 ±6,038","02:52 (01:58)"
