"#","Game","Release date","Price","Userscore (Metascore)","Owners","Playtime (Median)"
"345","Maia","Dec 3, 2013","$24.99","N/A (N/A)","30,247 ±4,442","03:04 (00:47)"
"360","R.I.P.D.: The Game","Jul 16, 2013","$9.99","N/A (N/A)","30,076 ±4,430","01:48 (01:41)"
"273","Angry Birds Space","Mar 7, 2013","$4.99","N/A (N/A)","29,563 ±4,392","12:48 (03:06)"
"430","Wooden Sen'SeY","Dec 5, 2013","$9.99","N/A (N/A)","28,879 ±4,341","01:11 (00:55)"
"334","Dead Sky","Nov 22, 2013","$4.99","N/A (N/A)","28,709 ±4,328","01:08 (00:31)"
"340","Emergency 2014","Nov 15, 2013","$19.99","N/A (N/A)","28,709 ±4,328","09:47 (04:25)"
"307","Gravi","Oct 8, 2013","$4.99","N/A (N/A)","27,854 ±4,263","01:42 (01:16)"
"550","Zigfrak","Dec 13, 2013","$4.99","N/A (N/A)","27,854 ±4,263","02:00 (00:55)"
"464","Pro Cycling Manager 2013","Jun 20, 2013","$9.99","N/A (N/A)","27,683 ±4,250","70:05 (15:20)"
"471","iPi Mocap Studio 2","Mar 26, 2013","Free","N/A (N/A)","27,683 ±4,250","01:07 (00:03)"
"560","9.03m","Nov 20, 2013","$0.99","81% (N/A)","27,000 ±4,197","01:08 (00:15)"
"349","Go Home Dinosaurs!","Mar 14, 2013","$9.99","N/A (N/A)","26,658 ±4,170","13:42 (02:10)"
"564","Tiny Barbarian DX","Dec 3, 2013","$9.99","N/A (N/A)","26,487 ±4,157","02:05 (01:02)"
"159","Retrovirus","Jan 31, 2013","$19.99","N/A (70%)","25,804 ±4,103","03:17 (01:56)"
"215","Bientt l't","Feb 6, 2013","$9.99","N/A (62%)","25,804 ±4,103","00:39 (00:22)"
"388","Underrail","Sep 23, 2013","$9.99","N/A (N/A)","25,633 ±4,089","10:50 (02:35)"
"253","Air Conflicts: Vietnam","Oct 2, 2013","$19.99","N/A (43%)","25,291 ±4,062","03:04 (00:57)"
"244","Bad Bots","May 17, 2013","$4.99","N/A (49%)","25,120 ±4,048","03:52 (00:37)"
"206","Defense Technica","Oct 24, 2013","$14.99","N/A (63%)","24,095 ±3,965","08:23 (02:03)"
"536","Black Ink","Sep 6, 2013","$45","N/A (N/A)","23,582 ±3,922","13:06 (02:47)"
"556","Salvation Prophecy","Oct 7, 2013","$19.99","N/A (N/A)","23,582 ±3,922","03:01 (01:17)"
"447","Joe Danger","Jun 24, 2013","$14.99","N/A (N/A)","23,069 ±3,879","01:47 (01:04)"
"512","Vox","Nov 12, 2013","$9.99","N/A (N/A)","22,557 ±3,836","01:52 (01:24)"
"192","Armada 2526 Gold Edition","Feb 28, 2013","$19.99","N/A (66%)","22,386 ±3,822","10:02 (02:49)"
"245","Adventure Park","Nov 8, 2013","$19.99","N/A (49%)","22,386 ±3,822","01:27 (00:53)"
"515","Omegalodon","Sep 20, 2013","$9.99","N/A (N/A)","22,044 ±3,792","02:19 (01:15)"
"568","Gimbal","Nov 19, 2013","$14.99","N/A (N/A)","21,873 ±3,778","06:30 (00:58)"
"435","Dracula: Love Kills","Oct 29, 2013","$9.99","N/A (N/A)","21,702 ±3,763","07:54 (05:28)"
"448","Final Hours of Tomb Raider","Mar 7, 2013","$1.99","N/A (N/A)","21,702 ±3,763","00:49 (00:18)"
"312","Bunny Must Die! Chelsea and the 7 Devils","Sep 26, 2013","$9.99","N/A (N/A)","21,361 ±3,733","02:23 (00:53)"
"316","Bus-Simulator 2012","Nov 22, 2013","$9.99","N/A (N/A)","21,361 ±3,733","04:37 (02:45)"
"347","A-Train 8","Sep 18, 2013","$19.99","N/A (N/A)","21,361 ±3,733","01:11 (00:09)"
"43","The Last Express Gold Edition","Nov 21, 2013","$6.99","N/A (82%)","21,019 ±3,703","02:33 (01:58)"
"155","Battle Worlds: Kronos","Nov 4, 2013","$19.99","N/A (71%)","20,164 ±3,627","07:32 (02:01)"
"296","MotoGP13","Jun 20, 2013","$19.99","N/A (N/A)","20,164 ±3,627","38:11 (06:46)"
"264","Risk","Jun 10, 2013","$9.99","N/A (N/A)","19,823 ±3,596","26:56 (01:07)"
"343","Flashback","Oct 1, 2013","$9.99","N/A (N/A)","19,481 ±3,565","07:26 (03:47)"
"572","Entropy","Dec 9, 2013","$19.99","N/A (N/A)","19,310 ±3,549","12:52 (01:51)"
"205","Storm","Jun 27, 2013","$9.99","N/A (63%)","19,139 ±3,534","01:24 (00:45)"
"405","Magicka: Wizards of the Square Tablet","Oct 31, 2013","$4.99","N/A (N/A)","18,968 ±3,518","01:56 (00:57)"
